ticker,name_x,search_query
TSY,TRUSTREET PROPERTIES INC.,trustreet properties
ID,L-1 IDENTITY SOLUTIONS,identity solutions
VCI,VALASSIS COMMUNICATIONS INC,valassis communications
AHG,APRIA HEALTHCARE GROUP,apria healthcare group
VPHM,VIROPHARMA INC,viropharma
UAA,UNDER ARMOUR INC CLASS A,under armour
WMGI,WRIGHT MEDICAL GROUP INC.,wright medical group
GLB,GLENBOROUGH REALTY TRUST INCORPORA,glenborough realty incorpora
RCNI,RCN,rcn
GMST,GEMSTAR-TV GUIDE INTL. INC.,gemstar tv guide intl
THOR,THORATEC CORP.,thoratec
PXR.1,PAXAR CORP,paxar
BKUNQ,BANKUNITED FINANCIAL CORP. CL A,bankunited financial cl
CHG,CH ENERGY GROUP INC. (HOLDING CO.),ch energy group holding
ECLP,ECLIPSYS CORP,eclipsys
WIND.1,WIND RIVER SYSTEMS,wind river systems
AWGI.XX1,ALDERWOODS GROUP INC.,alderwoods group
RASF,RAIT FINANCIAL TRUST REIT TRUST,rait financial reit
BSTE,BIOSITE,biosite
WMS,WMS INDUSTRIES INC.,wms industries
ZRAN,ZORAN CORP,zoran
TALX,TALX,talx
LUFK,LUFKIN INDUSTRIES INC.,lufkin industries
UNTD,UNITED ONLINE INC.,united online
KSWS,K-SWISS INC. CL A,swiss cl
CCBI,COMMERCIAL CAPITAL BANCORP INC.,commercial capital bancorp
JJZ,JACUZZI BRANDS INC.,jacuzzi brands
MCDTA,MCDATA CORPORATION CL A,mcdata cl
ARXX,AEROFLEX INC,aeroflex
CHSI,CATALYST HEALTH SOLUTIONS INC.,catalyst health solutions
STU,STUDENT LOAN CORP,student loan
PSTI.,PER-SE TECHNOLOGIES INC.,per technologies
DIGE,DIGENE CORP,digene
BLGM,BUILDING MATERIALS HOLDING CORP,building materials holding
PLLL,PARALLEL PETROLEUM,parallel petroleum
ADVS,ADVENT SOFTWARE INC.,advent software
PYX,PLAYTEX PROD,playtex prod
TKLC,TEKELEC,tekelec
FCTR,FIRST CHARTER,first charter
ENS,ENERSYS,enersys
TCF,CHEMICAL FINANCIAL CORP,chemical financial
ATPAQ,ATP OIL AND GAS CORP,atp oil and gas
CEDCQ,CENTRAL EUROPEAN DISTRIBUTION CORP,central european distribution
KWD,KELLWOOD CO.,kellwood
BKMU,BANK MUTUAL CORP,bank mutual
OPSW,OPSWARE,opsware
PMTI,PALOMAR MEDICAL TECHNOLOGIES INC.,palomar medical technologies
BBBB,BLACKBOARD,blackboard
TRA,TERRA INDUSTRIES INC.,terra industries
ACPIQ,ANTHRACITE CAPITAL REIT INC,anthracite capital reit
SPSNQ,SPANSION CL A,spansion cl
BLOAQ,BLOCKBUSTER INC. CL A,blockbuster cl
TQNT,TRIQUINT SEMICONDUCTOR INC.,triquint semiconductor
FIF.1,FIN FEDERAL,fin federal
MTLM,METAL MANAGEMENT,metal management
ARRO,ARROW INTL INC,arrow intl
EPIC,EPICOR SOFTWARE CORP.,epicor software
ONXX,ONYX PHARMACEUTICALS INC.,onyx pharmaceuticals
SMMX,SYMYX TECHNOLOGIES,symyx technologies
IDC,INTERACTIVE DATA CORP,interactive data
CELL,BRIGHTPOINT INC.,brightpoint
ADVBQ,ADVANTA CL B,advanta cl
APPX,APP PHARMACEUTICALS INC.,app pharmaceuticals
CONR,CONOR MEDSYSTEMS INC.,conor medsystems
SNWL,SONICWALL,sonicwall
KPA,INNKEEPERS USA TRUST,innkeepers usa
ROC,ROCKWOOD HOLDINGS INC.,rockwood holdings
SAX,SAXON CAPITAL INC.,saxon capital
RCRC,RC2 CORPORATION,rc2
MCRL,MICREL INC.,micrel
SCMR,SYCAMORE NETWORKS INC,sycamore networks
CXR,COX RADIO INC,cox radio
MATK,MARTEK BIOSCIENCES,martek biosciences
SPSX,SUPERIOR ESSEX INC.,superior essex
KBAY,KANBAY INTERNATIONAL INC.,kanbay international
ARJ,ARCH CHEMICALS INC,arch chemicals
CGX,CONSOLIDATED GRAPHICS INC,consolidated graphics
RYAN,RYANS RESTAURANT GROUP INC.,ryans restaurant group
IBI,INTERLINE BRANDS INC.,interline brands
AMFIQ,AMCORE FINANCIAL,amcore financial
NEWP,NEWPORT CORP.,newport
GLDN.1,GOLDEN TELECOM,golden telecom
PKY,PARKWAY PROPERTIES INC.,parkway properties
AEGN,INSITUFORM TECHNOLOGIES INC. CL A,insituform technologies cl
TZIX,TRIZETTO GROUP,trizetto group
LEND,ACCREDITED HOME LENDERS HOLDING CO,accredited home lenders holding
CKP,CHECKPOINT SYSTEM INC,checkpoint system
CXG,CNX GAS,cnx gas
WHCI,W HOLDING INC,holding
PRX,PAR PHARMACEUTICAL COS. INC.,par pharmaceutical cos
CMTY,COMMUNITY BANKS,community banks
FOXH,FOXHOLLOW TECHNOLOGIES,foxhollow technologies
WLSC,WILLIAMS SCOTSMAN INTERNATIONAL IN,williams scotsman international in
CKXE,CKX INC.,ckx
ZGEN,ZYMOGENETICS INC,zymogenetics
SQA.A,SEQUA CORPORATION CL A,sequa cl
SLXP,SALIX PHARMACEUTICALS LTD.,salix pharmaceuticals
SMSC,STANDARD MICROSYSTEMS CORP.,standard microsystems
HEROQ,HERCULES OFFSHORE INC,hercules offshore
ADLR,ADOLOR CORP,adolor
USIH,U.S.I. HOLDINGS CORP.,holdings
CCRT,COMPUCREDIT HOLDINGS CORP,compucredit holdings
KEA,KEANE INC,keane
IWA,IOWA TELECOMMUNICATIONS SERVICES I,iowa telecommunications services
CAO,CSK AUTO,csk auto
TONEQ,TIERONE CORP,tierone
STEI,STEWART ENTERPRISES INC. CL A,stewart enterprises cl
CVTX,CV THERAPEUTICS,cv therapeutics
CHTT,CHATTEM INC,chattem
TLB,TALBOTS INC.,talbots
KEYS,KEYSTONE AUTOMOTIVE INDUSTRIES,keystone automotive industries
HTV,HEARST ARGYLE TV,hearst argyle tv
MDST.,MID-STATE BANCSHARES,mid state bancshares
WSC,WESCO FINANCIAL CORP.,wesco financial
WPP,WAUSAU PAPER CORP.,wausau paper
CHTRQ,CHARTER COMMUNICATIONS A,charter communications
GVHR,GEVITY HR,gevity hr
CBCRQ,CAPITOL BANCORP LTD,capitol bancorp
COGT,COGENT INC.,cogent
CPKI,CALIFORNIA PIZZA KITCHEN,california pizza kitchen
DRL,DORAL FINANCIAL CORP,doral financial
MFA,MFA FINANCIAL REIT INC,mfa financial reit
TGIC,TRIAD GUARANTY INC,triad guaranty
WITS,WITNESS SYSTEMS,witness systems
OPEN.3,OPEN SOLUTIONS INC.,open solutions
EPAX,AMBASSADORS GROUP INC.,ambassadors group
MATR.,MATRIA HEALTHCARE INC.,matria healthcare
TIVO,TIVO INC.,tivo
SIRO,SIRONA DENTAL SYSTEMS INC.,sirona dental systems
GSIC,GSI COMMERCE INC.,gsi commerce
STL,PROVIDENT NEW YORK BANCORP,provident new york bancorp
HNBC,HARLEYSVILLE NATIONAL CORP,harleysville national
AMN,AMERON INTERNATIONAL CORPORATION,ameron international
OXPS,OPTIONSXPRESS HOLDINGS,optionsxpress holdings
HITT,HITTITE MICROWAVE CORP,hittite microwave
CASC,CASCADE CORP,cascade
GBNK,GUARANTY BANCORP,guaranty bancorp
NOVN,NOVEN PHARM,noven pharm
RYI.1,RYERSON INC.,ryerson
LTC,LTC PROPERTIES REIT INC,ltc properties reit
CQB,CHIQUITA BRANDS INTERNATIONAL INC.,chiquita brands international
ULTI,ULTIMATE SOFTWARE GROUP INC,ultimate software group
ALFA.1,ALFA CORP,alfa
TWGP,TOWER GROUP INTERNATIONAL LTD.,tower group international
ASCA,AMERISTAR CASINOS INC.,ameristar casinos
SLFI,STERLING FINANCIAL CORP,sterling financial
NDN,99 CENTS ONLY STORES,cents only stores
ARBA,ARIBA INC,ariba
ABCWQ,ANCHOR BANCORP WISCONSIN INC,anchor bancorp wisconsin
ELK,ELKCORP,elkcorp
ESLRQ,EVERGREEN SOLAR INC,evergreen solar
KTO,K2 INC,k2
LAB,LABRANCHE & CO,labranche
SCRX,SCIELE PHARMA,sciele pharma
ACO,AMCOL INTERNATIONAL CORP,amcol international
HTCH,HUTCHINSON TECHNOLOGY INC.,hutchinson technology
JOSB,JOS A BANK CLOTHIERS INC,jos bank clothiers
NRF,NORTHSTAR REALTY FINANCE CORP.,northstar realty finance
MPW,MEDICAL PROPERTIES TRUST REIT INC,medical properties reit
GTW,GATEWAY INC.,gateway
CVNS.1,COVANSYS,covansys
TRXBQ,TRONOX INC CLASS B,tronox
RGLD,ROYAL GOLD INC,royal gold
SMA,SYMMETRY MEDICAL INC.,symmetry medical
CJHBQ,CHAMPION ENTERPRISES,champion enterprises
TRMPQ,TRUMP ENTERTAINMENT RESORTS INC.,trump entertainment resorts
PHRM.,PHARMION,pharmion
AGIXQ,ATHEROGENICS INC.,atherogenics
PTMK,PATHMARK STORES INC,pathmark stores
FTWRQ,FIBERTOWER CORP,fibertower
CPX,COMPLETE PRODUCTION SERVICES INC.,complete production services
MROI,MRO SOFTWARE INC.,mro software
SRR,STRIDE RITE CORP,stride rite
MDTL,MEDIS TECHNOLOGIES LTD,medis technologies
PWER,POWER-ONE INC,power one
MLAN,MIDLAND COMPANY,midland
UIC,UNITED INDUSTRIAL,united industrial
SFNT,SAFENET INC.,safenet
GCT,GMH COMMUNITIES TRUST,gmh communities
DIAL,WESTWOOD ONE INC.,westwood one
ATRS.,ALTIRIS INC.,altiris
LNY,LANDRYS RESTAURANTS INC.,landrys restaurants
JRN,JOURNAL COMMUNICATIONS INC.,journal communications
MOVE,MOVE INC.,move
HOTT,HOT TOPIC INC.,hot topic
ODSY,ODYSSEY HEALTHCARE INC,odyssey healthcare
TW.1,21ST CENTURY INSURANCE,21st century insurance
DEL,DELTIC TIMBER CORP,deltic timber
FLOW,FLOW INTERNATIONAL CORP,flow international
GKK,GRAMERCY CAPITAL CORP.,gramercy capital
SPSS,SPSS INC,spss
HGIC,HARLEYSVILLE GROUP INC.,harleysville group
WCBO,WEST COAST BANCORP (OREGON),west coast bancorp oregon
PLFE,PRESIDENTIAL LIFE CORP.,presidential life
SWIM,THINKORSWIM GROUP,thinkorswim group
ICO,INTERNATIONAL COAL GROUP INC.,international coal group
FRCMQ,FAIRPOINT COMMS,fairpoint comms
PRAI,PRA INTERNATIONAL,pra international
PRTR.,PARTNERS TRUST FINL GRP,partners finl grp
NWSB,NORTHWEST BANCORP INC.,northwest bancorp
IWOV,INTERWOVEN INC,interwoven
ABAX,ABAXIS INC,abaxis
IFS,INFRASOURCE SERVICES,infrasource services
OATS,WILD OATS MKT,wild oats mkt
CNQR,CONCUR TECHNOLOGIES INC.,concur technologies
KNBT,KNBT BANCORP,knbt bancorp
SUPX,SUPERTEX INC,supertex
FBTXQ,FRANKLIN BANK CORP,franklin bank
GAPTQ,GREAT ATLANTIC & PACIFIC TEA CO.,great atlantic pacific tea
SONO,SONOSITE INC,sonosite
BDG.2,BANDAG INC.,bandag
STAR.1,LONE STAR STEAKHOUSE & SALOON INC,lone star steakhouse saloon
MBHIQ,MIDWEST BANC,midwest banc
LDR,LANDAUER INC,landauer
FSNMQ,FIRST STATE,first state
XPRT,LECG CORP,lecg
INTL.1,INTER-TEL INC,inter tel
CBEY,CBEYOND INC,cbeyond
JDAS,JDA SOFTWARE GROUP INC.,jda software group
MSO,MARTHA STEWART LIVING OMNIMEDIA IN,martha stewart living omnimedia in
BORL,BORLAND SOFTWARE CORP,borland software
SUTMQ,SUN-TIMES MEDIA GROUP INC. CL A,sun times media group cl
SAPE,SAPIENT CORP.,sapient
RSCR,RES-CARE INC,res care
IBNKQ,INTEGRA BANK CORP,integra bank
GTIV,GENTIVA HEALTH SERVICES INC.,gentiva health services
JRT,JER INVESTORS TRUST INC.,jer investors
ASEI,AMERICAN SCIENCE AND ENGINEERING I,american science and engineering
TUG,MARITRANS INC.,maritrans
CHUX,OCHARLEYS INC.,ocharleys
DVW,COVAD COMM GROUP,covad comm group
ORH,ODYSSEY RE HOLDINGS CORP,odyssey re holdings
MMR,MCMORAN EXPLORATION CO.,mcmoran exploration
DSCP,DATASCOPE CORP,datascope
FLTWQ,FLEETWOOD ENTR,fleetwood entr
ITMN,INTERMUNE INC,intermune
RA,RAILAMERICA INC.,railamerica
FICC,FIELDSTONE INVESTMENT CORP.,fieldstone investment
OO,OAKLEY INC,oakley
CHIC,CHARLOTTE RUSSE HOLDING INC.,charlotte russe holding
ILSE,INTRALASE CORP.,intralase
BNE,BOWNE & CO INC,bowne
UHT,UNIVERSAL HEALTH REALTY INCOME TRU,universal health realty income tru
NTG.1,NATCO GRP CL A,natco grp cl
PHIKQ,PETROLEUM HELICOPTERS NON VOTING I,petroleum helicopters
CTCI,CT COMMUNICATIONS,ct communications
GNSS,GENESIS MICROCHIP INC,genesis microchip
NUCO,NUCO2,nuco2
VTAL,VITAL IMAGES,vital images
WEBM.,WEBMETHODS INC,webmethods
WTSLQ,WET SEAL INC CLASS A,wet seal
EXAR,EXAR CORP,exar
ZOLT,ZOLTEK COS.,zoltek cos
FPIC,FPIC INSURANCE GROUP INC.,fpic insurance group
TFSM,24/7 REAL MEDIA INC.,real media
AMIS,AMIS HOLDINGS,amis holdings
CCBL,C-COR,cor
FFCH,FIRST FINANCIAL HOLDINGS INC.,first financial holdings
SFN,SPHERION CORP.,spherion
MHL,MORTGAGEIT HOLDINGS INC.,mortgageit holdings
IFCJ,INTERCHANGE FINANCIAL SERVICES COR,interchange financial services cor
SINT,SI INTERNATIONAL,si international
ANST,ANSOFT CORP,ansoft
NRPH,NEW RIVER PHARMACEUTICALS INC.,new river pharmaceuticals
FPFCQ,FIRST PLACE FINANCIAL CORP,first place financial
RBN,ROBBINS & MYERS INC.,robbins myers
LDSH,LADISH CO. INC.,ladish
PFWD,PHASE FORWARD,phase forward
CTBK,CITY BANK,city bank
NETL,NETLOGIC MICROSYSTEMS,netlogic microsystems
RDDYQ,REDDY ICE HOLDINGS INC.,reddy ice holdings
PPD,PRE-PAID LEGAL SERVICES INC.,pre paid legal services
CPTS,CONCEPTUS INC.,conceptus
VIGN,VIGNETTE CORP.,vignette
LUMCQ,LUMINENT MORTGAGE CAPITAL,luminent mortgage capital
SVNTQ,SAVIENT PHARMACEUTICALS INC,savient pharmaceuticals
ACTL,ACTEL CORP,actel
JAS,JO-ANN STORES INC.,jo ann stores
CT,CAPITAL TRUST INC. CL A,capital cl
SNBI,STATE NATIONAL BANCSHARES INC.,state national bancshares
BKC,BURGER KING HOLDINGS INC,burger king holdings
TRMAQ,TRICO MARINE SERVICES INC,trico marine services
ERT,ERESEARCH TECHNOLOGY INC.,eresearch technology
IRWNQ,IRWIN FINANCIAL CORP,irwin financial
KNXA,KENEXA CORP.,kenexa
HPY,HEARTLAND PAYMENT SYSTEMS INC,heartland payment systems
KNDL,KENDLE INTERNATIONAL INC.,kendle international
SNIC,SONIC SOLUTIONS,sonic solutions
EDR,EDUCATION REALTY TRUST INC. INC TR,education realty tr
VITL,VITAL SIGNS,vital signs
TRAD,TRADESTATION GP,tradestation gp
ATAC,ATC TECHNOLOGY CORP.,atc technology
XOXO,XO GROUP INC,xo group
HNR,HARVEST NATURAL RESOURCES INC,harvest natural resources
PPCO,PENWEST PHARMACEUTICALS,penwest pharmaceuticals
EDO,EDO CORP.,edo
OMEF,OMEGA FINAN CP,omega finan cp
NPSI,NORTH PITTSBURGH SYSTEMS,north pittsburgh systems
ARD,ARENA RESOURCES,arena resources
ENMC,ENCORE MEDICAL CORPORATION,encore medical
CNCT.,CONNETICS CORPORATION,connetics
CRRC,COURIER CORP.,courier
SSTI,SILICON STORAGE TECHNOLOGY,silicon storage technology
SIXFQ,SIX FLAGS,six flags
AGIL,AGILE SOFTWARE,agile software
AFCE,AFC ENTERPRISES INC.,afc enterprises
SYMM,SYMMETRICOM INC,symmetricom
STL,STERLING BANCORP,sterling bancorp
LSE,CAPLEASE INC.,caplease
NSTC,NESS TECHNOLOGIES,ness technologies
DRTE,DENDRITE INTERNATIONAL INC.,dendrite international
HYC,HYPERCOM CORP,hypercom
NFLDQ,NORTHFIELD LABORATORIES,northfield laboratories
TNS,TNS INC.,tns
CTO,CONSOLIDATED TOMOKA LAND,consolidated tomoka land
HS,HEALTHSPRING INC.,healthspring
CBRIQ,CMTSU INC,cmtsu
ANEN,ANAREN INC.,anaren
CYBS,CYBERSOURCE CORP,cybersource
WRS,WINDROSE MEDICAL PROPERTIES TRUST,windrose medical properties
ARDI,@ROAD INC.,road
RTSX,RADIATION THERAPY SERVICES INC.,radiation therapy services
SBKCQ,SECURITY BANK CORP.,security bank
CNXS,CNS INC.,cns
XLTC,EXCEL TECH,excel tech
SVR,SYNIVERSE HOLDINGS INC.,syniverse holdings
PDGI,PHARMANET DEVELOPMENT GROUP,pharmanet development group
FLAG.1,FLAG FINANCIAL CORPORATION.,flag financial
KFI,K&F INDUSTRIES HOLDINGS INC.,industries holdings
IPSU,IMPERIAL SUGAR CO.,imperial sugar
AACE,ACE CASH EXPRESS INC.,ace cash express
OPTN.,OPTION CARE,option care
CPV,CENTRACORE PROPERTIES TRUST,centracore properties
YANB,YARDVILLE NATL BANCORP,yardville natl bancorp
HMBNQ,HOMEBANC,homebanc
CTDBQ,CITADEL BROADCASTING,citadel broadcasting
BHS,BROOKFIELD HOMES CORP,brookfield homes
PEET,PEETS COFFEE & TEA INC.,peets coffee tea
VCBI,VIRGINIA COMMERCE BANCORP INC,virginia commerce bancorp
ISYS,INTEGRAL SYSTEMS,integral systems
PSPT,PEOPLESUPPORT INC.,peoplesupport
ZOLL,ZOLL MEDICAL CORP.,zoll medical
TAL,TRITON INTERNATIONAL INC,triton international
SNTS,SANTARUS INC.,santarus
GRB,GERBER SCIENTIFIC INC.,gerber scientific
KNSY,KENSEY NASH CORP.,kensey nash
DCGNQ,DECODE GENETICS INC.,decode genetics
KEYW.1,ESSEX CORPORATION,essex
CMLS,CUMULUS MEDIA INC CLASS A,cumulus media
ADEX,ADE CORPORATION,ade
ACAP,AMERICAN PHYSICIANS CAPITAL INC.,american physicians capital
MRNA,MARINA BIOTECH INC.,marina biotech
SMBI,SYMBION INC.,symbion
LMS,LAMSON & SESSIONS CO(THE,lamson sessions the
FINB,FIRST INDIANA,first indiana
PQES,PROQUEST CO.,proquest
HPOL,HARRIS INTERACTIVE INC,harris interactive
ISLE,ISLE OF CAPRI CASINOS INC,isle capri casinos
SCNB,SUFFOLK,suffolk
CSWC,CAPITAL SOUTHWEST CORP,capital southwest
ASYTQ,ASYST TECHNOLOGIES INC,asyst technologies
SONE,S1 CORP,s1
XJT,EXPRESSJET HOLDINGS INC,expressjet holdings
OPLK,OPLINK COMMUNICATIONS INC.,oplink communications
WXH,WINSTON HOTELS INC.,winston hotels
EMAG,EMAGEON INC COM,emageon
DTPI,DIAMOND MANAGEMENT & TECHNOLOGY CO,diamond management technology
BELFB,BEL FUSE INC CLASS B,bel fuse
LAVA,MAGMA DESIGN AUTOMATION INC,magma design automation
SORCQ,SOURCE INTERLINK COS,source interlink cos
SUR,CNA SURETY,cna surety
MDS,MIDAS INC.,midas
WOLF,GREAT WOLF RESORTS INC.,great wolf resorts
BKI,BUCKEYE TECHNOLOGIES INC.,buckeye technologies
NKT,NEWKIRK REALTY TRUST INC.,newkirk realty
ANET,AUTHORIZE.NET HLDG,authorize net hldg
DNDNQ,DENDREON CORP,dendreon
GRNB,GREEN BANKSHARES INC.,green bankshares
FSCI,FISHER COMMUNICATIONS INC.,fisher communications
PWEI.XX1,PW EAGLE,pw eagle
ACTG,ACACIA RESEARCH CORP,acacia research
RADS,RADIANT SYSTEMS INC,radiant systems
IDEV,INDEVUS PHARMACEUTICALS INC.,indevus pharmaceuticals
GGL,GOODMAN GLOBAL INC.,goodman global
ESGR,ENSTAR GROUP INC.,enstar group
MWYGQ,MIDWAY GAMES,midway games
STEL.,STELLENT INC.,stellent
MDCC,MOLECULAR DEVICES CORPORATION,molecular devices
NAFC,NASH FINCH CO.,nash finch
LNETQ,LODGENET INTERACTIVE INC,lodgenet interactive
SPCBQ,SPECTRUM BRANDS,spectrum brands
ASVI,A S V INC,
RVI,RETAIL VENTURES,retail ventures
TOPP,TOPPS CO,topps
BEXP,BRIGHAM EXPLORATION,brigham exploration
PTIE,PAIN THERAPEUTICS INC,pain therapeutics
STST,ARGON ST,argon st
TXUI,TEXAS UNITED BANCSHARES INC.,texas united bancshares
VLTR,VOLTERRA SEMICONDUCTOR CORP.,volterra semiconductor
PRM,PRIMEDIA INC,primedia
WTBA,WEST BANCORPORATION INC,west bancorporation
CGC.2,CASCADE NATURAL GAS,cascade natural gas
PKTR,PACKETEER,packeteer
FRNTQ,FRONTIER AIRLINES,frontier airlines
MCOAQ,MONACO COACH CORP,monaco coach
VTRU,VERTRUE INC.,vertrue
IMP,ITLA CAPITAL CORP.,itla capital
ACMR,A.C. MOORE ARTS & CRAFTS INC.,moore arts crafts
HRZB,HORIZON FINANCIAL CORP,horizon financial
STEL,STELLARONE CORP.,stellarone
VLCM,VOLCOM,volcom
VOLT,VOLT INFORMATION SCIENCES INC,volt information sciences
MIPS,MIPS TECHNOLOGIES INC.,mips technologies
CCOWQ,CAPITAL CORP OF THE WEST COM NEW,capital the west new
SBIT,SUMMIT BANCSHARES INC.,summit bancshares
ECLG,ECOLLEGE.COM,ecollege
CLFC,CENTER FINANCIAL CORP,center financial
TALK.XX1,TALK AMERICA HOLDINGS INC.,talk america holdings
PONR,PIONEER COS INC COM NEW,pioneer cos new
TNOX,TANOX INC,tanox
RPB,REPUBLIC PROPERTY TR COM,republic property tr
EPEXQ,EDGE PETROLEUM CORP,edge petroleum
ARTG,ART TECH GROUP,art tech group
XRIT,X-RITE INC.,rite
SURW,SUREWEST COMMUNICATIONS,surewest communications
ELMG,EMS TECHNOLOGIES INC.,ems technologies
CMOS,CREDENCE SYSTEMS,credence systems
TICC,OXFORD SQUARE CAPITAL CORP,oxford square capital
AVNX,AVANEX CORP,avanex
PMACA,PMA CAPITAL CP A,pma capital cp
TPTH,TRIPATH IMAGING INC.,tripath imaging
MIG,MEADOWBROOK INSURANCE GROUP INC.,meadowbrook insurance group
CSKEQ,CHESAPEAKE CORP,chesapeake
IDWK,INTERNATIONAL DISPLAYWORKS INC.,international displayworks
GETI,GENTEK INC.,gentek
SCUR,SECURE COMPUTING,secure computing
CITP,COMSYS IT PARTNERS,comsys it partners
SGK,SCHAWK INC,schawk
GRAN,BANK OF GRANITE,bank granite
GEHL,GEHL CO,gehl
IFLO,I-FLOW CORP,flow
MFB,MAIDENFORM BRANDS INC.,maidenform brands
EVVV,EV3 INC.,ev3
NTBKQ,NETBANK INC.,netbank
FRGBQ,FIRST REGIONAL BANCORP,first regional bancorp
TXCOQ,TXCO RESOURCES,txco resources
IUSA,INFOGROUP INC.,infogroup
PLAY.1,PORTALPLAYER INC.,portalplayer
ASPM,ASPECT MEDICAL SYSTEMS,aspect medical systems
TRLG,TRUE RELIGION APPAREL INC.,true religion apparel
SWWC,SOUTHWEST WATER CO.,southwest water
DSCM,DRUGSTORE.COM,drugstore
ORCC,ONLINE RESOURCES CORP.,online resources
ALY,ALLIS-CHALMERS ENERGY INC.,allis chalmers energy
TMYEQ,TRANSMERIDIAN EXPL INC,transmeridian expl
MAPS,MAPINFO CORPORATION,mapinfo
BTFG,BANCTRUST FINANCIAL GROUP INC.,banctrust financial group
GBTB,G B & T BANCSHARES INC COM,bancshares
AOB,AMERICAN ORIENTAL BIOENGINEERING I,american oriental bioengineering
LGN,LODGIAN INC.,lodgian
AACC,ASSET ACCEPTANCE CAPITAL CORP.,asset acceptance capital
LF,LEAPFROG ENTERPRISES INC. CL A,leapfrog enterprises cl
NWRE,NEOWARE,neoware
IPX,INTERPOOL INC,interpool
CASLQ,A M CASTLE,castle
DLLR,DFC Global Corp.,dfc global
MSSR,MCCORMICK & SCHMICKS SEAFOOD REST,mccormick schmicks seafood rest
JRVR,JAMES RIVER GROUP INC,james river group
TMR,MERIDIAN RESOURCE CORP.,meridian resource
ITWO,I2 TECHNOLOGIES INC,i2 technologies
WSII,WASTE SERVICES,waste services
CPWM,COST PLUS INC.,cost plus
FNBP.1,F N B CORP VA COM,va
PORK,PREMIUM STANDARD FARMS,premium standard farms
ZZ,SEALY CORP.,sealy
PWFL,POWERFLEET INC,powerfleet
DRA,COINMACH SERVICE CORP A,coinmach service
SIZ.1,SIZELER PROPERTY INVESTORS INC.,sizeler property investors
BCSI,BLUE COAT SYSTEMS INC,blue coat systems
PLSB.,PLACER SIERRA BANCSHARES,placer sierra bancshares
UBH,USB HOLDING,usb holding
PLXT,PLX TECHNOLOGY INC,plx technology
CLZR,CANDELA CORP,candela
SYGR,SYNAGRO TECHNOLOGIES INC.,synagro technologies
MEAS,MEASUREMENT SPECIALTIES INC,measurement specialties
NREB,NORTHERN EMPIRE BANCSHARES,northern empire bancshares
TUNE,MICROTUNE INC.,microtune
BDE.,BOIS D ARC ENERGY INC.,bois arc energy
PSEM,PERICOM SEMICONDUCTOR CORP.,pericom semiconductor
RSTO,RESTORATION HARDWARE INC.,restoration hardware
MERC,MERCER INTERNATIONAL INC,mercer international
TINY,180 DEGREE CAPITAL INC,degree capital
ENCY,ENCYSIVE PHARMACEUTICALS INC,encysive pharmaceuticals
OHAI,NGP CAPITAL RESOURCES,ngp capital resources
ADC,AGREE REALTY REIT CORP,agree realty reit
GMXR,GMX RSCS,gmx rscs
GKNT,GEEKNET INC.,geeknet
OFG,ORIENTAL FINANCIAL GROUP INC.,oriental financial group
WARR,WARRIOR ENERGY SERVICES CORPORATIO,warrior energy services corporatio
PANC,PANACOS PHARMACEUTICALS INC,panacos pharmaceuticals
BIRT,ACTUATE CORP.,actuate
DITC,DITECH NETWORKS INC.,ditech networks
GLAD,GLADSTONE CAPITAL CORP,gladstone capital
SUNH.XX1,SUN HEALTHCARE GROUP INC COM NEW,sun healthcare group new
SHS,SAUER INC,sauer
ADZA,ADEZA BIOMEDICAL CORPORATION,adeza biomedical
MGAM,MULTIMEDIA GAMES HOLDING CO. INC.,multimedia games holding
MDCI,MEDICAL ACTION INDUSTRIES INC,medical action industries
MAXY,MAXYGEN INC.,maxygen
VRNM,DIVERSA CORP.,diversa
INTV,INTERVOICE INC.,intervoice
MTCT,MTC TECHNOLOGIES INC,mtc technologies
CBBO,COLUMBIA BANCORP ORE COM,columbia bancorp ore
CHRDD,CHORDIANT SOFTWARE INC.,chordiant software
WBMD,WEBMD HEALTH CORP,webmd health
IESC,INTEGRATED ELECTRICAL SERVICES INC,integrated electrical services
IKAN,IKANOS COMMUNICATIONS INC,ikanos communications
HSOA,HOME SOLUTIONS,home solutions
AWBCQ,AMERICANWEST,americanwest
BRNC,BRONCO DRILLING,bronco drilling
IDIX,IDENIX PHARMACEUTICALS INC,idenix pharmaceuticals
HRZL,HORIZON LINES INC.,horizon lines
MDTH,MEDCATH CORP.,medcath
MTLG,METROLOGIC INSTRUMENTS INC.,metrologic instruments
SKP,SCPIE HOLDINGS INC.,scpie holdings
SMF.1,SMART & FINAL,smart final
NURO,NEUROMETRIX INC.,neurometrix
SR,STANDARD REGISTER CO.,standard register
VNBCQ,VINEYARD NATL BANCORP,vineyard natl bancorp
RNOW,RIGHTNOW TECHNOLOGIES INC,rightnow technologies
CYPB,CYPRESS BIOSCIENCE INC.,cypress bioscience
PIKE,PIKE CORP,pike
WFBC,WILLOW FINANCIAL BANCORP IN COM,willow financial bancorp in
ENSI,ENERGY SOUTH INC.,energy south
CKCM,CLICK COMMERCE INC.,click commerce
CSARQ,CARAUSTAR IND,caraustar ind
BDY,BRADLEY PHARMACEUTICALS,bradley pharmaceuticals
BNT,BENTLEY PHARMACEUTICALS INC.,bentley pharmaceuticals
VSCN,VISUAL SCIENCES INC COM,visual sciences
